,ID,Indicador,Unidade,janeiro,fevereiro,março,abril,maio,junho,julho,agosto,setembro,outubro,novembro,dezembro
,,Consolidação Anual,,"99,41%",,,,,,,,,,,
,,Consolidação Mensal - Índice de Disponibilidade das Soluções de Tecnologia da Informação e Comunicação,,"99,82%","99,79%","98,91%","98,82%","99,65%","99,68%","99,07%","99,51%",,,,
,1,% Disponibilidade de Hospedagem de Aplicações de Clientes,UGITI,"99,55%","98,79%","98,60%","99,09%","98,83%","98,62%","98,64%","99,18%",,,,
,2,% Disponibilidade de Solução Digital (Aplicação) SIGADOC,UGSDG,"99,97%","99,66%","97,11%","98,28%","99,29%","99,33%","99,31%","99,16%",,,,
,3,% Disponibilidade de Solução Digital - Aplicação Plataforma Liferay,UGGDI,"99,95%","99,52%","98,38%","98,99%","99,02%","99,50%","88,50%","99,54%",,,,
,4,% Disponibilidade de Banco de Dados (Plataforma ORACLE),UGITI,"99,16%","99,98%","98,72%","99,99%","99,99%","99,95%","99,99%","99,99%",,,,
,5,% Disponibilidade de Banco de Dados (PLATAFORMAS OPEN),UGITI,"100,00%","100,00%","99,96%","98,61%","99,84%","99,72%","99,72%","98,90%",,,,
,6,% Disponibilidade do Ambiente de Data Center (energia elétrica e refrigeração),UGITI,"100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%",,,,
,7,% Disponibilidade de Conectividade com a Internet,UGITI,"100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%",,,,
,8,% Disponibilidade de Conectividade a Rede INFOVIA MT,UGITI,"100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%",,,,
,9,% Disponibilidade do Serviço de Armazenamento,UGITI,"100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%",,,,
,10,% Disponibilidade do Serviço de Virtualização,UGITI,"100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%",,,,
,11,% Disponibilidade de Serviço Backup,UGITI,"100,00%","100,00%","91,10%","95,00%","100,00%","100,00%","100,00%","100,00%",,,,
,12,% Disponibilidade Plataforma de interoperabilidade (XVIA),UGARQ,"99,00%","99,00%","99,25%","99,65%","99,65%","99,53%","99,71%","99,79%",,,,
,13,% Disponibilidade Portal MT.GOV.BR,UGGDI,"99,97%","99,93%","99,52%","99,81%","99,75%","99,67%","99,49%","99,99%",,,,
,14,% Disponibilidade MT LOGIN,UGGDI,"99,98%","99,97%","99,83%","99,95%","99,91%","99,94%","99,97%","99,98%",,,,
,15,% Disponibilidade MT ID,UGGDI,,"99,94%","99,78%","98,97%","99,97%","99,85%","99,98%","95,60%",,,,
,16,% Disponibilidade MT CIDADÃO,UGGDI,"99,68%","99,71%","99,44%","98,46%","98,22%","98,85%","99,24%","99,85%",,,,
,17,% Disponibilidade Plataforma SYDLE (MT SIMPLIFICA) para MT,UGARQ,"99,80%","99,81%","99,81%","99,56%","99,30%","99,42%","98,86%","99,30%",,,,
,18,% Disponibilidade Plataforma SYDLE (MT SIMPLIFICA) para outros clientes,UGARQ,"99,95%","99,91%","98,87%","92,38%","99,90%","99,83%","99,90%","99,83%",,,,
,19,% de resolução de incidentes dentro do SLA,UGSTI,"71,05%","63,69%","69,13%","79,70%","79,64%","74,70%","78,64%","81,45%",,,,
,20,% de resolução de solicitação de serviços dentro do SLA,UGSTI,"83,29%","83,57%","91,53%","86,72%","85,94%","83,95%","80,92%","83,48%",,,,
,21,Carga de Falha na Sustentação de Soluções Digitais,CoE,"38,64%","26,85%","27,64%","35,31%","40,34%","33,39%","25,83%","17,68%",,,,
,22,Total de Pontos de Conexão Ativos de Internet nos Órgãos Públicos,UGSTI,114,90,115,80,39,18,32,12,,,,
,23,Total de Projetos de Inteligência Artificial (IA) Implantados,UGARQ,0,0,0,0,0,"0,00","0,00","0,00",,,,
,24,Total de Projetos de Soluções Digitais Entregues,CoE,29,31,25,27,17,31,42,32,,,,
,25,Indice de Disponibilidade MT CIDADÃO (Governador),CoE,,"99,91%","99,73%","99,26%","99,60%","99,69%","99,83%","98,20%","0,00%","0,00%","0,00%","0,00%"
,26,Indice de Disponibilidade PORTAIS DE GOVERNO (Governador),CoE,"99,96%","99,73%","98,95%","99,40%","99,39%","99,59%","94,00%","99,77%","0,00%","0,00%","0,00%","0,00%"
