Unidade,Diretoria,Indicador (descrição),Indicador (tipo),Indicador (fórmula),Meta (objetivo),Meta (valor/quantidade) - proposta,Meta (prazo),Unidade de Medida,Polaridade do Indicador,Como,Necessidades,Observação,Histórico do Indicador,"JANEIRO
META DO MÊS","JANEIRO
ALCANCE DO MÊS","JANEIRO
RESULTADO",JANEIRO OBSERVAÇÃO,"FEVEREIRO
META DO MÊS","FEVEREIRO
ALCANCE DO MÊS","FEVEREIRO
RESULTADO",FEVEREIRO OBSERVAÇÃO,"MARÇO
META DO MÊS","MARÇO
ALCANCE DO MÊS","MARÇO
RESULTADO",MARÇO OBSERVAÇÃO,"ABRIL
META DO MÊS","ABRIL
ALCANCE DO MÊS","ABRIL
RESULTADO",ABRIL OBSERVAÇÃO,"MAIO
META DO MÊS","MAIO
ALCANCE DO MÊS","MAIO
RESULTADO",MAIO OBSERVAÇÃO,"JUNHO
META DO MÊS","JUNHO
ALCANCE DO MÊS","JUNHO
RESULTADO",JUNHO OBSERVAÇÃO,"JULHO
META DO MÊS","JULHO
ALCANCE DO MÊS","JULHO
RESULTADO",JULHO OBSERVAÇÃO,"AGOSTO
META DO MÊS","AGOSTO
ALCANCE DO MÊS","AGOSTO
RESULTADO",AGOSTO OBSERVAÇÃO,"SETEMBRO
META DO MÊS","SETEMBRO
ALCANCE DO MÊS","SETEMBRO
RESULTADO",SETEMBRO OBSERVAÇÃO,"OUTUBRO
META DO MÊS","OUTUBRO
ALCANCE DO MÊS","OUTUBRO
RESULTADO",OUTUBRO OBSERVAÇÃO,"NOVEMBRO
META DO MÊS","NOVEMBRO
ALCANCE DO MÊS","NOVEMBRO
RESULTADO",NOVEMBRO OBSERVAÇÃO,"DEZEMBRO
META DO MÊS","DEZEMBRO
ALCANCE DO MÊS","DEZEMBRO
RESULTADO",DEZEMBRO OBSERVAÇÃO
OUVIDORIA,GADP,100% dos relatórios publicados,Operacional,100% dos relatórios publicados,Publicar 04 relatórios de gestão ao ano,4 relatórios (3 quadrimestral e 1 anual),Anual,Percentual,Maior Melhor,"I - Observar os prazos regulamentares;
II - Iniciar e concluir a elaboração do relatório com maior antecedencia possível, logo após o fechamento do quadrimestre",,,,100%,100%,"100,00%",Relatório 3º quadrimestre de 2025,,,"0,00%",NSA,,,"0,00%",NSA,100%,100%,"100,00%",Relatório Anual e !º trimestral validado e publicado,0%,0%,"0,00%",NSA,,,"0,00%",NSA,,,"0,00%",NSA,100%,100%,"100,00%",Relatório trimestral publicado,,,-,,,,-,,,,-,,,,-,
OUVIDORIA,GADP,"Percentual dos ambientes
 monitorados",Operacional,"% de ambientes 
monitorados",Monitorar 100% dos ambientes,100%,Mensal,Percentual,Maior Melhor,Monitorar o ambiente Transparência e Ouvidoria,,,,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,,,-,,,,-,,,,-,,,,-,
OUVIDORIA,GADP,"Percentual da quantidade 
de monitoramentos ",Operacional,% dos monitoramentos,Realizar 100% dos monitoramentos,100%,Mensal,Percentual,Maior Melhor,Monitorar o ambiente Transparência e Ouvidoria ao menos 1x por semana,,,,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,,,-,,,,-,,,,-,,,,-,
OUVIDORIA,GADP,"Quantidade de ações 
realizadas",Operacional,"Quantidade de ações
 realizadas",Realizar 12 ações anuais,12,Anual,Unidade,Maior Melhor,Informes Ouvidoria e Transparência,,,,100%,100%,"100,00%",27/01 - Ética e Transparência,100%,100%,"100,00%",27/02 - Proteção de Informações Sigilosas! ,100%,100%,"100,00%",24/03 - Lei Geral de Proteção de Dados,100%,100%,"100,00%",29/04 - Compromisso com a Integridade!,100%,100%,"100,00%",26/05 - Política de Divulgação de Informações,100%,100%,"100,00%",30/06 - Lei de Acesso à Informação,100%,100%,"100,00%",31/07 - Prazos Lei de Acesso À Informação,100%,100%,"100,00%",25/08 - Você Sempre Tem Algo a Dizer!,,,-,,,,-,,,,-,,,,-,
OUVIDORIA,,"Selo de Ouvidoria e
Transparência ",Operacional,% de atendimento dos requisitos,Atender 99% dos requisitos,99%,Anual,Percentual,Maior Melhor,,,,,,,"0,00%",NSA,,,"0,00%",NSA,99%,99%,"100,00%",Selo Diamante,,,"0,00%",NSA,,,"0,00%",NSA,,,"0,00%",NSA,,,"0,00%",NSA,,,,NSA,,,,,,,,,,,,,,,,
OUVIDORIA,,Índice de Satisfação da Ouvidoria,DIREX,Percentual de avaliações positivas recebidas,Receber no sistema Fale Cidadão avaliações positivas referentes a solução das demandas. Fonte da apuração: Sistema Fale Cidadão,"90,00%",31/12/2025,Percentual,Maior Melhor,Receber no sistema Fale Cidadão avaliações positivas referentes a solução das demandas. Fonte da apuração: Sistema Fale Cidadão,"I - criar um  canal de avaliação, onde seja possivel avaliar a satisfação com o atendimento e com a resposta","""I -  O sistema de avaliação do Fale cidadão, avalia a satisfação  com  a resposta da Ouvidoria
II - para melhoria desse indicador, faz-se necessário a colaboração das Unidades Administrativas ao responder as manifestações, cumprindo o prazo estabelecido e encaminhando uma resposta satisfatória as necessidades do solicitante""","""I - Responder as manifestações com a maior brevidade e dentro do prazo estabelecido;
II - responder as manifestações utilizando linguagem cidadã;
III - conscentizar o solicitante sobre a importancia de realizar a avaliação ao final do atendimento;""","90,00%","100,00%","111,11%",,"90,00%","100,00%","111,11%",9 avaliações positivas recebidas,"90,00%","100,00%","111,11%","08 avaliações

01 regular
01 bom
06 muito bom","90,00%","100,00%","111,11%",03 avaliações recebidas,"90,00%","100,00%","111,11%",04 avaliações recebidas,"90,00%",-,"0,00%","NSA

Nenhuma avaliação recebida","90,00%","100,00%","111,11%",03 avaliações recebidas,"90,00%","100,00%","111,11%",02 avaliações recebidas e classificadas como positivas (M.B. e Regular),,,-,,,,-,,,,-,,,,-,
OUVIDORIA,,Percentual de Demandas Respondidas Dentro do Prazo,DIREX,Percentual de demanda respondida,Número de demandas respondidas dentro do prazo estabelecido. Fonte da apuração: Sistema Fale Cidadão,"100,00%",31/12/2025,Percentual,Maior Melhor,Número de demandas respondidas dentro do prazo estabelecido. Fonte da apuração: Sistema Fale Cidadão,"I - Participação da Unidade de comunicação para auxiliar na conscientização das unidades;
","I - para melhoria desse indicador, faz-se necessário a colaboração das Unidades Administrativas ao responder as manifestações, cumprindo o prazo estabelecido e encaminhando uma resposta satisfatória as necessidades do solicitante","I  - Conscientizar as Unidades a respeitar os prazos de resposta das manifestações recebidas
II - Encaminhar as manifestações  a Unidade responsável no mesmo dia do recebimento no Sistema Fale Cidadão
III  - Monitorar as manifestações encaminhadas as Unidades Administrativas
IV - Alertar a Unidade responsável  o prazo de resposta 
","100,00%","93,33%","93,33%",30 demandas sendo 2 atrasadas,"100,00%","100,00%","100,00%",29 demandas todas finalizadas no prazo,"100,00%","100,00%","100,00%","22 demandas, todas finalizadas no prazo","100,00%","100,00%","100,00%","14 demandas recebidas, todas finalizadas no prazo","100,00%","100,00%","100,00%","14 demandas recebidas, todas finalizadas no prazo","100,00%","100,00%","100,00%","09 demandas recebidas, todas finalizadas no prazo.","100,00%","100,00%","100,00%","07 demandas recebidas, todas finalizadas no prazo legal.","100,00%","100,00%","100,00%","08 demandas recebidas, sendo 06 finalizadas no prazo legal e 2 em tratamento na data do monitoramento.",,,-,,,,-,,,,-,,,,-,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNICRS,GADP,Percentual de não cumprimento do código de conduta e integridade,Operacional,(qtd de infrações ao código de conduta e integridade/qtd total de denúncias recebidas),"Medir o grau de adesão ao Código de Conduta e Integridade da MTI, com base nas denúncias gerais recebidas e processadas via ouvidoria",≤20%,anual,Percentual,Menor Melhor,"1. Identificar a quantidade total de riscos mapeados em 2023;
2. Verificar o percentual de riscos críticos existentes;
3. Acompanhar o tratamento dos riscos críticos, verificando a execução dos planos de ações e sua eficácia em diminuir o nível do risco.",Engajamento dos gerentes de unidades administrativas e apoio da alta direção,Integridade,criado janeiro/2025,,,"0,00%","Verificação será realizada semestralmente (junho e dezembro), a partir de informações encaminhadas pela ouvidoria.",,,"0,00%","Verificação será realizada semestralmente (junho e dezembro), a partir de informações encaminhadas pela ouvidoria.",,,"0,00%","Verificação será realizada semestralmente (junho e dezembro), a partir de informações encaminhadas pela ouvidoria.",,,"0,00%","Verificação será realizada semestralmente (junho e dezembro), a partir de informações encaminhadas pela ouvidoria.",,,"0,00%","Verificação será realizada semestralmente (junho e dezembro), a partir de informações encaminhadas pela ouvidoria.",,,"0,00%","Verificação será realizada semestralmente (junho e dezembro), a partir de informações encaminhadas pela ouvidoria.",,,"0,00%","Verificação realizada com a Ouvidoria - não houve, até junho/25, nenhuma denúncia registrada de descumprimento do código de conduta e integridade da MTI. Nova verificação será realizada em Dezembro/25. ",,,"0,00%","Verificação realizada com a Ouvidoria - não houve, até junho/25, nenhuma denúncia registrada de descumprimento do código de conduta e integridade da MTI. Nova verificação será realizada em Dezembro/25. ",,,-,,,,-,,,,-,,,,-,
UNICRS,GADP,Percentual de empregados treinados sobre o código de conduta e integridade,Operacional,(Qtd de colaboradores treinados/Qtd total de colaboradores)*100,Garantir a participação do colaborador no treinamento anual do código de conduta e integridade,98%,anual,Percentual,Maior Melhor,"1. Elaboração do plano de ação para o plano de integridade da MTI;
2. Validação do plano de ação pela Comissão de Conduta e Integridade;
3. Aprovação do plano de ação pelo Presidente;
4. Execução das atividades planejadas.
","Organização da equipe da UNICRS, da Comissão de Conduta e Integridade e colaboração da ASSCOM ",Integridade,,,,"0,00%","Treinamento será realizado na semana da integridade, em meados de setembro/2025",,,"0,00%","Treinamento será realizado na semana da integridade, em meados de setembro/2025",,,"0,00%","Treinamento será realizado na semana da integridade, em meados de setembro/2025",,,"0,00%","Treinamento será realizado na semana da integridade, em meados de setembro/2025",,,"0,00%","Treinamento será realizado na semana da integridade, em meados de setembro/2025",,,"0,00%","Treinamento será realizado na semana da integridade, em meados de setembro/2025",,,"0,00%","Treinamento será realizado na semana da integridade, em meados de setembro/2025",,,"0,00%","Treinamento será realizado na semana da integridade, em meados de setembro/2025",,,-,,,,-,,,,-,,,,-,
