Unidade,Diretoria,Indicador (descrição),Indicador (tipo),Indicador (fórmula),Meta (objetivo),Meta (valor/quantidade) - proposta,Meta (prazo),Unidade de Medida,Polaridade do Indicador,Como,Necessidades,Observação,Histórico do Indicador,"JANEIRO
META DO MÊS","JANEIRO
ALCANCE DO MÊS","JANEIRO
RESULTADO",JANEIRO OBSERVAÇÃO,"FEVEREIRO
META DO MÊS","FEVEREIRO
ALCANCE DO MÊS","FEVEREIRO
RESULTADO",FEVEREIRO OBSERVAÇÃO,"MARÇO
META DO MÊS","MARÇO
ALCANCE DO MÊS","MARÇO
RESULTADO",MARÇO OBSERVAÇÃO,"ABRIL
META DO MÊS","ABRIL
ALCANCE DO MÊS","ABRIL
RESULTADO",ABRIL OBSERVAÇÃO,"MAIO
META DO MÊS","MAIO
ALCANCE DO MÊS","MAIO
RESULTADO",MAIO OBSERVAÇÃO,"JUNHO
META DO MÊS","JUNHO
ALCANCE DO MÊS","JUNHO
RESULTADO",JUNHO OBSERVAÇÃO,"JULHO
META DO MÊS","JULHO
ALCANCE DO MÊS","JULHO
RESULTADO",JULHO OBSERVAÇÃO,"AGOSTO
META DO MÊS","AGOSTO
ALCANCE DO MÊS","AGOSTO
RESULTADO",AGOSTO OBSERVAÇÃO,"SETEMBRO
META DO MÊS","SETEMBRO
ALCANCE DO MÊS","SETEMBRO
RESULTADO",SETEMBRO OBSERVAÇÃO,"OUTUBRO
META DO MÊS","OUTUBRO
ALCANCE DO MÊS","OUTUBRO
RESULTADO",OUTUBRO OBSERVAÇÃO,"NOVEMBRO
META DO MÊS","NOVEMBRO
ALCANCE DO MÊS","NOVEMBRO
RESULTADO",NOVEMBRO OBSERVAÇÃO,"DEZEMBRO
META DO MÊS","DEZEMBRO
ALCANCE DO MÊS","DEZEMBRO
RESULTADO",DEZEMBRO OBSERVAÇÃO
OUVIDORIA,GADP,N. de demandas respondidas no prazo,Operacional,percentual de demanda respondida,Número de demandas respondidas dentro do prazo estabelecido. Fonte da apuração: Sistema Fale Cidadão,100%,mensal,Percentual,Maior Melhor,"I  - Conscientizar as Unidades a respeitar os prazos de resposta das manifestações recebidas
II - Encaminhar as manifestações  a Unidade responsável no mesmo dia do recebimento no Sistema Fale Cidadão
III  - Monitorar as manifestações encaminhadas as Unidades Administrativas
IV - Alertar a Unidade responsável  o prazo de resposta 
","I - Participação da Unidade de comunicação para auxiliar na conscientização das unidades;
","I - para melhoria desse indicador, faz-se necessário a colaboração das Unidades Administrativas ao responder as manifestações, cumprindo o prazo estabelecido e encaminhando uma resposta satisfatória as necessidades do solicitante",,100%,100%,"100,00%",24 demandas recebidas e tratadas,100%,100%,"100,00%",25 demandas recebidas e tratadas,100%,100%,"100,00%","31 demandas recebidas e tratadas

(02 em tratamento)",100%,100%,"100,00%","45 demandas recebidas e tratadas, sendo 03 em tratamento até a data de monitoramento dos indicadores.",100%,100%,"100,00%","19 demandas recebidas e tratadas

(02 em tratamento)",100%,100%,"100,00%","20 recebidas sendo 3 em tratamento e 17 finalizadas dentro do prazo.
",100%,100%,"100,00%",16 demandas recebidas e finalizadas no prazo,100%,100%,"100,00%",23 demandas recebidas e finalizadas no prazo ,100%,100%,"100,00%","18 demanda recebidas, sendo 2 em tratamento e 16 finalizadas dentro do prazo ",100%,100%,"100,00%",16 demandas recebidas e finalizadas no prazo ,100%,100%,"100,00%",21 Demandas recebidas sendo 6 em tratamento e 15 finalizadas dentro do prazo ,100%,100%,"100,00%",17 demandas sendo 3 em tratamento e 14 finalizadas no prazo
OUVIDORIA,GADP,Satisfação com ouvidoria,Operacional,Percentual de avaliações positivas recebidas,Receber no sistema Fale Cidadão avaliações positivas referentes a solução das demandas. Fonte da apuração: Sistema Fale Cidadão,80%,mensal,Percentual,Maior Melhor,"I - Responder as manifestações com a maior brevidade e dentro do prazo estabelecido;
II - responder as manifestações utilizando linguagem cidadã;
III - conscentizar o solicitante sobre a importancia de realizar a avaliação ao final do atendimento;","I - criar um  canal de avaliação, onde seja possivel avaliar a satisfação com o atendimento e com a resposta","I -  O sistema de avaliação do Fale cidadão, avalia a satisfação  com  a resposta da Ouvidoria
II - para melhoria desse indicador, faz-se necessário a colaboração das Unidades Administrativas ao responder as manifestações, cumprindo o prazo estabelecido e encaminhando uma resposta satisfatória as necessidades do solicitante",,80%,100%,"125,00%",12 avaliações recebidas,80%,100%,"125,00%",05 avaliações positivas pelo google forms,80%,100%,"125,00%",17 avaliações recebidas,80%,100%,"125,00%",19 avaliações positivas ,80%,100%,"125,00%",09 avaliações recebidas,80%,100%,"125,00%",8 Avaliações recebidas,80%,100%,"125,00%",5 avaliações recebidas,80%,100%,"125,00%",8 avaliações recebidas ,80%,100%,"125,00%",4 avaliações recebidas,80%,100%,"125,00%",6 avaliações recebidas,80%,100%,"125,00%",5 Avaliações recebidas,80%,100%,"125,00%",12 avaliações recebidas
OUVIDORIA,GADP,"100% dos relatórios
 entregue no prazo",Operacional,Percentual de relatórios no prazo,"
Elaborar relatórios periódicos no prazo estabelecido
",100%,Quadrimestral,Percentual,Maior Melhor,"I - Observar os prazos regulamentares;
II - Iniciar e concluir a elaboração do relatório com maior antecedencia possível, logo após o fechamento do quadrimestre",,,,100%,100%,"100,00%",Relatório 3º quadrimestre de 2023 entregue no prazo,100%,100%,"100,00%",Relatório Anual encaminhado para validação em 27/02,,,"0,00%",NSA,,,"0,00%",NSA,100%,,"0,00%",Relatório Quadrimestral encaminhado para validação em 10/05,,,"0,00%",NSA,,,"0,00%",NSA,100%,100%,"0,00%",NSA,,,-,NSA,,,-,NSA,,,-,NSA,,,-,NSA
OUVIDORIA,GADP,"Quantidade de
relatórios entregues",Operacional,"Quantidade de
relatórios entregues","
Elaborar relatórios periódicos no prazo estabelecido
",4 relatórios (3 quadrimestral e 1 anual),Anual,Unidade,Maior Melhor,"I - Observar os prazos regulamentares;
II - Iniciar e concluir a elaboração do relatório com maior antecedencia possível, logo após o fechamento do quadrimestre",,,,100%,100%,"100,00%",Relatório 3º quadrimestre de 2023 ,100%,100%,"100,00%","Encaminhado em 27/02, após agenda, aprovado em 05/03 e publicado em 06/03",,,"0,00%",NSA,,,"0,00%",NSA,100%,,"0,00%",Relatório Quadrimestral encaminhado para validação em 10/05 e publicado em 28/05,,,"0,00%",NSA,,,"0,00%",NSA,100%,100%,"0,00%",NSA,100%,100%,"100,00%","Relátorio de ouvidoria 3° quadrimestre, encaminhado para validação 03/09",,,,NSA,,,-,NSA,,,-,NSA
OUVIDORIA,GADP,"Percentual dos ambientes
 monitorados",Operacional,"% de ambientes 
monitorados",Monitorar 100% dos ambientes,100%,Mensal,Percentual,Maior Melhor,Monitorar o ambiente Transparência e Ouvidoria,,,,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,100%,,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",
OUVIDORIA,GADP,"Percentual da quantidade 
de monitoramentos ",Operacional,% dos monitoramentos,Realizar 100% dos monitoramentos,100%,Mensal,Percentual,Maior Melhor,Monitorar o ambiente Transparência e Ouvidoria ao menos 1x por semana,,,,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,100%,,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",
OUVIDORIA,GADP,"Quantidade de ações 
realizadas",Operacional,"Quantidade de ações
 realizadas",Realizar 12 ações anuais,12,Anual,Unidade,Maior Melhor,Informes Ouvidoria e Transparência,,,,100%,100%,"100,00%",01 Informes disseminado em 29/01 - assunto: sigilo de 100 de dados pessoais,100%,100%,"100,00%",01 Informes disseminado em 22/02 - assunto: Classificação da Informação,100%,100%,"100,00%","02 Informes:

01/03 - Dia do Elogio
15/03 - Dia do Ouvidor (notícia e e-mail)",100%,100%,"100,00%",22/04 - Política de Divulgação de Informações,100%,100%,"100,00%",20/05 Atribuições da Ouvidoria e 21/05 elogios do app.,100%,100%,100%,25/06 Manifestações de ouvidoria,100%,100%,"100,00%",11/07 - prazo de resposta e priorização das demandas de ouvidoria,100%,100%,"100,00%",06/08 - Cartilha de Ouvidoria,100%,100%,"100,00%",27/09 -  Dia internacional do acesso a informação,100%,100%,"100,00%",29/10 - Requisitos e vedações para pedidos de acesso à informação,100%,100%,"100,00%",29/11 - Prazos de resposta dos pedidos de acesso a informação,100%,100%,"100,00%","27/12 - Condutas passíveis de responsabilização
"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNICRS,GADP,Eficácia no tratamento dos riscos críticos,Operacional,(Qtd de riscos críticos/qtd total de riscos)*100,Diminuir o nível dos riscos críticos,≤25%,anual,Percentual,Menor Melhor,"1. Identificar a quantidade total de riscos mapeados em 2023;
2. Verificar o percentual de riscos críticos existentes;
3. Acompanhar o tratamento dos riscos críticos, verificando a execução dos planos de ações e sua eficácia em diminuir o nível do risco.",Engajamento dos gerentes de unidades administrativas e apoio da alta direção,Gestão de Riscos,,,,"0,00%",Atualização das planilhas e do treinamento de GIRC ,,,"0,00%","Efetuado o treinamento da GIRC , com todos os gerentes de UGS. portfólio e plano de ação atualizados para 2024",,,"0,00%",Efeutuado ajuste na planilha  e reuinioes com os gerentes de UGS para ajuste,,,"0,00%","Em processo de finalização da atualização dos riscos para 2024 - primeiro relatório planejado para JULHO, referente aos meses de abril, maio e junho/24.",0%,0%,"0,00%","Riscos devidamente atualizados. Ao final do mês de JULHO, serão coletadas as informações referentes a esse indicador.",0%,0%,"0,00%","Riscos devidamente atualizados. Ao final do mês de JULHO, serão coletadas as informações referentes a esse indicador.",,,"0,00%","Percentual de execução dos controles de tratamento dos riscos críticos, com base no plano de ação 2024 - 50%",,,"0,00%","Percentual de execução dos controles de tratamento dos riscos críticos, com base no plano de ação 2024 - 52%",,,0%,"Percentual de execução dos controles de tratamento dos riscos críticos, com base no plano de ação 2024 - 56%",,,,"Percentual de execução dos controles de tratamento dos riscos críticos, com base no plano de ação 2024 - 56%",,,,"Percentual de execução dos controles de tratamento dos riscos críticos, com base no plano de ação 2024 - 50%",,,,"Percentual de execução dos controles de tratamento dos riscos críticos, com base no plano de ação 2024 - 50%"
UNICRS,GADP,Status dos planos de ação para tratamento dos riscos,Operacional,(Qtd de planos de tratamento dentro do prazo/Qtd total de planos de tratamento)*100,Melhorar a eficiência no tratamento dos riscos corporativos,60%,anual,Percentual,Maior Melhor,"1. Verificar, mensalmente, através do plano de ação para tratamento dos riscos, as unidades que estão com todas as atividades em andamento, sem atrasos. ",Engajamento dos gerentes de unidades administrativas e apoio da alta direção,Gestão de Riscos,,,,"0,00%",Atualização das planilhas e do treinamento de GIRC ,,,"0,00%",será preenchido o mapa de gestão com o status observando as unidades que atualizaram o plano de ação no prazo ,,,"0,00%",O mapa de gestão esta sendo atualizado ,10%,9%,"0,00%","Das 20 unidades que necessitam preencher a planilha de riscos, todas as 20 realizaram a atividade, contudo, 01 unidade atualizou apenas 50% dos riscos (UGGDI)",,,"0,00%","Das 20 unidades que necessitam preencher a planilha de riscos, somente 9 realizaram a atividade, ficando pendente de atualização as unidades: UGGDI, UGPRO, UGSTI, UGSDG, UGARQ, UGVEN, UGEPV, UGACO, UGADM, UGCOF.",,,"0,00%","Das 20 unidades que necessitam preencher a planilha de riscos, somente 9 realizaram a atividade 100% 4 unidades atualizaram parcialmente o percentual de riscos de 50% a 90%, ficando pendente de atualização 6  unidades: UGGDI, UGSDG, UGARQ, UGVEN, UGENP,UGGDC.",,,"0,00%","Das 20 unidades que necessitam preencher a planilha de riscos, somente 11 realizaram a atividade 100% 3 unidades atualizaram parcialmente o percentual de riscos de 50% a 90%, ficando pendente de atualização 5 unidades: UGGDI, UGSDG, UGARQ, UGVEN, UGENP.",,,,"Das 20 unidades que necessitam preencher a planilha de riscos, somente 10 realizaram a atividade 100%, 6 unidades atualizaram parcialmente o percentual de riscos de 50% a 80%, ficando pendente de atualização 3 unidades: UGARQ, UGACO, UGEPV.",,,,"Das 20 unidades que necessitam preencher a planilha de riscos, somente 10 realizaram a atividade 100%, 8 unidades atualizaram parcialmente o percentual de riscos de 50% a 80%, ficando pendente de atualização 2 unidades: UGARQ, e UGVEN.",,,,"Das 20 unidades que necessitam preencher a planilha de riscos, somente 10 realizaram a atividade 100%, 6 unidades atualizaram parcialmente o percentual de riscos de 50% a 90%, ficando pendente de atualização 4 unidades: UGARQ,UGGDC UGGDI E UGSDG.",,,.,"Das 20 unidades que necessitam preencher a planilha de riscos, somente 6 realizaram a atividade 100%, 11 unidades atualizaram parcialmente o percentual de riscos de 60% a 90%, ficando pendente de atualização 4 unidades: UGGDC UGVEN e UGACO.",,,,"Das 20 unidades que necessitam preencher a planilha de riscos, somente 10 realizaram a atividade 100%, 4 unidades atualizaram parcialmente o percentual de riscos de 50% a 70%, ficando pendente de atualização 6 unidades: UGGDC, UGGDI, UGITI, UGVEN, UGARQ e UGSDG ."
