,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,"PROJETO
Entregas de Soluções de TIC 
(Clientes externos)",,,,"SUSTENTAÇÃO
Soluções de TIC Sustentadas 
(Clientes externos)",,,,"Atendimentos/Chamados de TIC
(Clientes externos)",,,,Nível de satisfação do cliente com as soluções de TIC entregues (Resultado 90-10)
,Mês,Nível de satisfação das entregas de Soluções de TIC,Número de Entregas (Projetos de Entrega de Valor),Número de respostas,Percentual de pesquisas respondidas.,Nível de satisfação da sustentação de Soluções de TIC,Número de produtos,Número de Respostas,Percentual de pesquisas respondidas,Nível de Satisfação do atendimentos Chamados,Número de Chamados criados,Número de Chamados que tiveram pesquisa respondida,Percentual de chamados avaliados respondidas.,"
 60% do Nível de satisfação das entregas de Soluções de TIC (PROJETOS) +30% do Nível de Satisfação das Soluções de TIC Sustentadas+ 
10% do Nível de Satisfação do atendimentos Chamados"
,janeiro/2024,"90,00%",12,7,"58,33%","72,05%",24,13,"54,17%","97,50%",511,41,"8,02%","85,37%"
,fevereiro/2024,"87,33%",16,5,"31,25%","78,21%",24,13,"54,17%","96,30%",1004,68,"6,77%","85,49%"
,março/2024,"98,30%",22,6,"27,27%","82,86%",24,7,"29,17%","98,50%",904,74,"8,19%","93,69%"
,abril/2024,"95,20%",21,11,"52,38%","80,56%",24,6,"25,00%","95,70%",778,47,"6,04%","90,86%"
,maio/2024,"100,00%",10,4,"40,00%","83,33%",24,3,"12,50%","98,00%",842,42,"4,99%","94,80%"
,junho/2024,"91,70%",14,4,"28,57%","75,67%",24,10,"41,67%","99,50%",757,57,"7,53%","87,67%"
,julho/2024,"100,00%",9,3,"33,33%","80,67%",24,5,"20,83%","94,60%",1031,84,"8,15%","93,66%"
,agosto/2024,,25,,"0,00%","87,67%",24,10,"41,67%","96,70%",794,40,"5,04%","35,97%"
,setembro/2024,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,"0,00%"
,outubro/2024,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,"0,00%"
,outubro/2024,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,"0,00%"
,outubro/2024,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,"0,00%"
,,,129,,,,,,,,,,,
