OBJETIVOS | Indicadores e Metas,Riscos Estratégicos,RESULTADO-CHAVE | INICIATIVA [REI],REI - ID,DIRETORIA,Unidade,PRAZO,MÉTRICA,SITUAÇÃO TRIMESTRE 1,SITUAÇÃO TRIMESTRE 2,SITUAÇÃO TRIMESTRE 3,SITUAÇÃO TRIMESTRE 4,SITUAÇÃO GERAL,OBSERVAÇÕES
Objetivo 3: Melhorar a qualidade das entregas | Grau de maturidade de governança e gestão | Estágio1 68%,N.S.A.,"Revisar PMP's:
*Alimentar, Monitorar, acompanhar e disponibilizar informações.
*Disseminar normas de transparência e ouvidoria.
*Elaborar relatório de gestão da Ouvidoria e Transparência
*Gerir denúncias, reclamações, sugestões, elogios, solicitações e pedido de informações",01,GADP,OUVIDORIA,30/07/2024,PMP's revisados,"03 PMPs revisa, finalizando o ultimo para encaminhar para UGGOV validar e elaborar o fluxograma.","Finalizado a revisão dos PMP's, encaminhado para UGGOV revisar e criar o fluxograma até o final do mês de maio.","01 PMP Aprovado
01 em fase de aprovação
02 - Em revisão dos indicadores a pedido da Presendencia","02 PMP Validados
02 PMP Adiado
",Em execução,
Objetivo 3: Melhorar a qualidade das entregas | Grau de maturidade de governança e gestão | Estágio1 68%,N.S.A.,Criar formulário no Sigadoc para solicitação de classificação de documentos sigilosos,02,GADP,OUVIDORIA,30/11/2024,Formulário criado,Em fase de pesquisa e capacitação,Iniciada a criação de um regulamento de sigilo,1ª Versão do Regulamento concluída,"Foi realizada uma conversa inicial para criação do formulário, entretanto ficou definido que será necessária uma ação integrada com a Ouvidoria Geral (CGE) e Arquivo Público.",Cancelada,
"Objetivo 4: Incentivar uma transformação cultural motivando as pessoas para colaboração, inovação e foco em resultados | Percentual de pessoas com 100% de seu PDI executado | 70%",N.S.A.,"Participar de 09 capacitações cada membro da equipe, nas áreas de Ouvidoria, transparência,Atendimento ao Público, Comunicação e afins",03,GADP,OUVIDORIA,30/11/2024,09 Certificados de capacitação por membro da equipe,"Colaboradora Maria: 05 capacitações (cursos e eventos)

Colaboradora Mara: 04 capacitações (01 aguardando certificado)","Colaboradora Maria: 12 capacitações (cursos e eventos)

Colaboradora Mara: 07 capacitações 

Jenifer 06 Capacitações (desligada) 

Gabrielle 03 capacitações ","Colaboradora Maria: 14 capacitações (cursos e eventos)

Colaboradora Mara: 07 capacitações 

Jenifer 06 Capacitações (desligada) 

Gabrielle 07 capacitações ","Colaboradora Maria: 14 capacitações (cursos e eventos)

Colaboradora Mara: 11 capacitações 

Jenifer 06 Capacitações (desligada) 

Gabrielle 10 capacitações ",Concluída,
"Objetivo 4: Incentivar uma transformação cultural motivando as pessoas para colaboração, inovação e foco em resultados | Percentual de pessoas com 100% de seu PDI executado | 70%",N.S.A.,Disseminar mensalmente informativos sobre Ouvidoria e Transparência,04,GADP,OUVIDORIA,20/12/2024,nº de informativos disseminados,"Disseminado 04 Informes:
29/01 - Dia da Proteção de Dados
22/02 - Classificação da Informação
01/03 - Dia do Elogio
15/03 - Dia do Ouvidor (notícia e e-mail)","Disseminado 04 Informes:
29/01 - Dia da Proteção de Dados
22/02 - Classificação da Informação
01/03 - Dia do Elogio
15/03 - Dia do Ouvidor (notícia e e-mail)
22/04 - Pol. de divulgações de informações
20/05 - Atribuções de ouvidoria
21/05 - Elogios app MT cidadão 
25/06 -  Manifestações de Ouvidoria","Disseminado 04 Informes:
29/01 - Dia da Proteção de Dados
22/02 - Classificação da Informação
01/03 - Dia do Elogio
15/03 - Dia do Ouvidor (notícia e e-mail)
22/04 - Pol. de divulgações de informações
20/05 - Atribuções de ouvidoria
21/05 - Elogios app MT cidadão 
25/06 -  Manifestações de Ouvidoria
11/07 - prazo de resposta e priorização das demandas de ouvidoria
06/08 - Cartilha de Ouvidoria","Disseminado 04 Informes:
29/01 - Dia da Proteção de Dados
22/02 - Classificação da Informação
01/03 - Dia do Elogio
15/03 - Dia do Ouvidor (notícia e e-mail)
22/04 - Pol. de divulgações de informações
20/05 - Atribuções de ouvidoria
21/05 - Elogios app MT cidadão 
25/06 -  Manifestações de Ouvidoria
11/07 - prazo de resposta e priorização das demandas de ouvidoria
06/08 - Cartilha de Ouvidoria
27/09 - Dia internacional do acesso a informação 
29/10 - Requisitos e vedações para pedidos de acesso à informação
29/11 - Prazos de resposta dos pedidos de acesso a informação
27/12 - condutas passíveis de responsabilização (programado pela ASSCOM)",Concluída,
Objetivo 3: Melhorar a qualidade das entregas | Grau de maturidade de governança e gestão | Estágio1 68%,N.S.A.,Atualizar modelo do Termo de Classificação da Informação,05,GADP,OUVIDORIA,20/12/2024,Termo Atualizado,Em fase de pesquisa e capacitação,Iniciada a criação de um regulamento de sigilo,1ª Versão do Regulamento concluída,1ª Versão do Regulamento concluída,Concluída,
Objetivo 3: Melhorar a qualidade das entregas | Grau de maturidade de governança e gestão | Estágio1 68%,N.S.A.,Criar padrões/formulários para pedidos de desclassificação/redução de prazo de sigilo,06,GADP,OUVIDORIA,20/12/2024,Padrões/formulário criados,Em fase de pesquisa e capacitação,Iniciada a criação de um regulamento de sigilo,1ª Versão do Regulamento concluída,Formulário criado e disponível no site,Concluída,https://www.mti.mt.gov.br/informacoes-classificadas
Objetivo 3: Melhorar a qualidade das entregas | Grau de maturidade de governança e gestão | Estágio1 68%,N.S.A.,Termo de Compromisso de Preservação de Sigilo,07,GADP,OUVIDORIA,20/12/2024,Termo criado,Em fase de pesquisa e capacitação,Iniciada a criação de um regulamento de sigilo,1ª Versão do Regulamento concluída,"Foi priorizado a elaboração do Regulamento, neste trimestre daremos início as iniciativas planejadas. ",Em execução,
Objetivo 3: Melhorar a qualidade das entregas | Grau de maturidade de governança e gestão | Estágio1 68%,N.S.A.,Criar controle de empregados que possuem acesso a informações que estão classificadas,08,GADP,OUVIDORIA,20/12/2024,Controle criado,Em fase de pesquisa e capacitação,Iniciada a criação de um regulamento de sigilo,1ª Versão do Regulamento concluída,"Foi priorizado a elaboração do Regulamento, neste trimestre daremos início as iniciativas planejadas. ",Em execução,
"Objetivo 4: Incentivar uma transformação cultural motivando as pessoas para colaboração, inovação e foco em resultados | Percentual de pessoas com 100% de seu PDI executado | 70%",N.S.A.,Realizar ao mínimo 18 reuniões para orientação sobre as classificações da informação e outros temas de ouvidoria e transparência,09,GADP,OUVIDORIA,31/07/2024,"Nº de reuniões realizadas
Todas as unidades e gerências Orientadas",Não iniciada,Não iniciada,Não iniciada,Não iniciada,Atrasada,Atividade não foi iniciada devido priorização de atividades referente a implementação da LGPD
,,,,,,,,,,,,,
