Nome,Tipo de Iniciativa,Resultado esperado,Objetivo Estratégico,Unidade,Ano,Prazo,Estado,Porcentagem  de conclusão
Implementar Podcast da MTI,OBES - Objetivo Estratégico,Podcast implementado,Incentivar uma transformação cultural,ASSCOM - ASSESSORIA DE COMUNICACAO,2024,01-08-2024 00:00:00,Concluído,"100,00"
"Consolidar o instrumento de pesquisa institucional  (Pesquisa de Imagem e Satisfação: meta 8,30)",OBES - Objetivo Estratégico,Conceito da avaliação,Elevar o nível de satisfação do cliente e de imagem institucional,ASSCOM - ASSESSORIA DE COMUNICACAO,2024,31-12-2024 18:00:00,Concluído,"100,00"
Implantação Nuvem Oracle at Customer,OBES - Objetivo Estratégico,Nuvem Implantada,Melhorar a Qualidade das Entregas,GABD - GERENCIA DE APLICACAO E BANCO DE DADOS,2024,24-07-2024 00:00:00,Concluído,"100,00"
CONCLUIR O MAPEAMENTO DOS PROCESSOS E REVISAR OS JÁ MAPEADOS,OBES - Objetivo Estratégico,Mapeamento e revisão de processos realizados,Melhorar a Qualidade das Entregas,"GACD - GERENCIA DE APLICACAO, CONHECIMENTO E DESENVOLVIMENTO",2024,31-12-2024 18:00:00,Concluído,"100,00"
EXECUTAR O PROGRAMA DE QUALIDADE DE VIDA,OBES - Objetivo Estratégico,Programa de qualidade de vida executado,Elevar o nível de satisfação do cliente e de imagem institucional,"GACD - GERENCIA DE APLICACAO, CONHECIMENTO E DESENVOLVIMENTO",2024,31-12-2024 18:00:00,Concluído,"100,00"
REALIZAR  A AVALIAÇÃO DE DESEMPENHO (REGULAMENTO DE AVALIAÇÃO DE DESEMPENHO-VIGENTE),RIES - Risco Estratégico,Avaliação de desempenho realizada,Incentivar uma transformação cultural,"GACD - GERENCIA DE APLICACAO, CONHECIMENTO E DESENVOLVIMENTO",2024,01-10-2024 00:00:00,Concluído,"100,00"
"MANTER  OS CONTRATOS COM FORNECEDORES ATIVOS (Sodexo, Ifood, Caju, Volus, Elofy, Universidade Patativas, Super Estágios, Equipe Assistencia e Lua Serviços)",OBES - Objetivo Estratégico,Contratos com fornecedores mantidos,Elevar o nível de satisfação do cliente e de imagem institucional,"GACD - GERENCIA DE APLICACAO, CONHECIMENTO E DESENVOLVIMENTO",2024,31-12-2024 18:00:00,Concluído,"100,00"
ELABORAR CHECK LIST PARA INSTRUÇÃO DOS PROCESSOS DE PAGAMENTO,OBES - Objetivo Estratégico,Check list elaborado,Melhorar a Qualidade das Entregas,"GACD - GERENCIA DE APLICACAO, CONHECIMENTO E DESENVOLVIMENTO",2024,31-12-2024 18:00:00,Concluído,"100,00"
MONITORAR A EXECUÇÃO DOS PDIs 2023/2024,OBES - Objetivo Estratégico,PDIs Executados,Melhorar a Qualidade das Entregas,"GACD - GERENCIA DE APLICACAO, CONHECIMENTO E DESENVOLVIMENTO",2024,31-12-2024 18:00:00,Concluído,"100,00"
EXECUTAR PROGRAMA DE INTEGRAÇÃO PARA NOVOS COLABORADORES,OBES - Objetivo Estratégico,Programa de integração executado,Melhorar a Qualidade das Entregas,"GACD - GERENCIA DE APLICACAO, CONHECIMENTO E DESENVOLVIMENTO",2024,31-12-2024 18:00:00,Concluído,"100,00"
EXECUTAR  O PLANO DE CAPACITAÇÃO 2024 (anual),OBES - Objetivo Estratégico,Plano de capacitação executado,Incentivar uma transformação cultural,"GACD - GERENCIA DE APLICACAO, CONHECIMENTO E DESENVOLVIMENTO",2024,31-12-2024 18:00:00,Concluído,"100,00"
REALIZAR PROCESSO SELETIVO PARA CONTRATAÇÃO DE JOVENS APRENDIZES,RIES - Risco Estratégico,Processo seletivo realizado,Elevar o nível de satisfação do cliente e de imagem institucional,"GACD - GERENCIA DE APLICACAO, CONHECIMENTO E DESENVOLVIMENTO",2024,01-12-2024 00:00:00,Concluído,"100,00"
70% das Releases do Produtor entregues no prazo acordado.,OBES - Objetivo Estratégico,Release,Elevar o nível de satisfação do cliente e de imagem institucional,"GAOI - GERENCIA DE SOLUCOES DIGITAIS AGROAMBIENTAIS, ORDENAMENTO TERRITORIAL E INFRAESTRUTURA",2024,28-12-2024 00:00:00,Concluído,"100,00"
Atualizar o mapeamento dos processos de aquisição e mapear as modalidades ainda não mapeadas,OBES - Objetivo Estratégico,Apresentar o fluxo elaborado,Melhorar a Qualidade das Entregas,GAQS - GERENCIA DE AQUISICOES,2024,29-02-2024 04:00:00,Concluído,"100,00"
Capacitação da area demante na instrução processual,OBES - Objetivo Estratégico,Total de unidades adminsitrativas  capacitadas,Melhorar a Qualidade das Entregas,GAQS - GERENCIA DE AQUISICOES,2024,01-03-2024 00:00:00,Concluído,"100,00"
