CONTADOR,Competência,Programa,Ação,Subação/Entrega (SA),(SA) Início,(SA) Término,(SA) Produto,(SA) Unid. Medida,(SA) Quantidade,(SA) Responsável,Etapa (ET),(ET) Início,(ET) Término,(ET) Responsável,(MC) Descrição do Item de Despesa,(MC) Unid. Medida,(MC) Quantidade,(MC) Valor Unitário,(MC) Valor Total,(MC) Grupo ,(MC) Natureza,(MC) Fonte,(MC) IDU,CONTRATO,"Plano Estratégico (A)
digite entre 0-5
0 = menor
5 = maior","Gravidade (B)
digite entre 1-5
1 = menor
5 = maior","Urgência (C)
digite entre 1-5
1 = menor
5 = maior","Tendência (d)
digite entre 1-5
1 = menor
5 = maior",Prioridade acumulada (A*B*C*D)
2004,-,36,2004-Manutenção de Gabinetes,1_Pagamento com despesas com diárias,02/01/2025,31/12/2025,Pagamento realizado,Percentual,100,Thaynara Martins de Souza,1.1_Programar despesas com diarias,02/01/2025,31/12/2025,Thaynara Martins de Souza,DIARIAS FORA DO ESTADO ,Mês,12,"R$ 12.000,00","R$ 144.000,00",Grupo_3,3.3.90.14.002,1.501.0000,OD,Não,3,3,3,3,81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,-,36,2005-Manutenção e conservação de bens imóveis,1_Administração Geral dos bens imóveis,02/01/2025,31/12/2025,Bem imóvel administrado,Percentual,100,Olívia Campos Arruda,1.1_Realizar e manter Serviços de reformas predial,02/01/2025,31/12/2025,Marcela Maria,Manutenção Predial ,Ano,01,"R$ 200.000,00","R$ 200.000,00",Grupo_3,3.3.90.39.069,1.501.0000,OD,Novo a contratar 2025,5,5,5,4,500
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,-,36,2006-Manutenção de serviços de transportes,1_Manutenção da Frota de Veículos da MTI,02/01/2025,31/12/2025,Veículo disponibilizado,Percentual,100,Olívia Campos Arruda,1.1_Adquirir combustível e lubrificantes automotivos,02/01/2025,31/12/2025,Marcela Maria ,Aquisição de combustíveis e lubrificantes automotivos,Mês,12,"R$ 5.000,00","R$ 60.000,00",Grupo_3,3.3.90.30.004,1.501.0000,CD,Existente / Aditivo,4,3,3,4,144
2006,-,36,2006-Manutenção de serviços de transportes,,,,,,,,1.2_Alugar Veículo,02/01/2025,31/12/2025,Marcela Maria ,Despesa com Aluguel de veículos,Mês,12,"R$ 15.000,00","R$ 180.000,00",Grupo_3,3.3.90.39.037,1.501.0000,CD,Existente / Aditivo,3,3,3,3,81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,-,36,2007-Manutenção de serviços administrativos gerais,1_Manutenção de serviços administrativos gerais,02/01/2025,31/12/2025,Manutenção realizada,Percentual,100,Olívia Campos Arruda,1.1_Manter serviços administrativos gerais,02/01/2025,31/12/2025,Marcela Maria ,Adiantamento de Consumo / Interveção Predial ,Unidade,08,"R$ 4.000,00","R$ 32.000,00",Grupo_3,3.3.90.30.013,1.501.0000,OD,Não,2,2,2,2,16
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,,,,,Adiantamento de Serviço/ Interveção Predial ,Unidade,08,"R$ 4.000,00","R$ 32.000,00",Grupo_3,3.3.90.30.013,1.501.0000,OD,Não,2,2,2,2,16
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,,,,,Material de Consumo,Mês,12,"R$ 5.000,00","R$ 60.000,00",Grupo_3,3.3.90.30.013,1.501.0000,OD,Não,4,3,4,5,240
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,,,,,Serviços de Limpeza,Mês,12,"R$ 30.000,00","R$ 360.000,00",Grupo_3,3.3.90.39.069,1.501.0000,CD,Existente / Aditivo,4,4,4,5,320
2007,-,36,2007-Manutenção de serviços administrativos gerais,,,,,,,,,,,,Serviço Diversos de Manutenção Geral da Empresa (poço entre outros),Mês,12,"R$ 5.000,00","R$ 60.000,00",Grupo_3,3.3.90.39.071,1.501.0000,OD,Novo a contratar 2025,4,4,4,4,256
