Nº ,OBJETO ,CONTRATO,DIRETORIA RESPONSÁVEL,Unidade,CÓD. PAOE,DESCRIÇÃO DO ITEM DE DESPESA,UNIDADE DE MEDIDA,QTD,VALOR UNITÁRIO,VALOR TOTAL,GRUPO DE DESPESA,NATUREZA,FONTE,IDU,"Plano Estratégico (A)
digite entre 0-5
0 = menor
5 = maior","Gravidade (B)
digite entre 1-5
1 = menor
5 = maior","Urgência (C)
digite entre 1-5
1 = menor
5 = maior","Tendência (d)
digite entre 1-5
1 = menor
5 = maior",Prioridade acumulada (A+B+C+D)
10,Manutenção de Ar Condiconado ,Existente / Aditivo,DAFI,UGADM,2007,Manutenção Ar Condionado ,Mensal,12,"R$ 7.000,00","R$ 84.000,00",3-DESPESAS CORRENTES,3.3.90.39.071,1.501.0000,CD-CONTRATOS DIVERSOS,4,4,4,4,256
02,SERVIÇOS DE MANUTENÇÃO DO SOFTWARE ERP - TOTVS PROTHEUS,Existente / Aditivo,DAFI,UGCOF/GCCP,2009,Manutençao do Sistema ERP Protheus,Anual,01,"R$ 117.000,00","R$ 117.000,00",3-DESPESAS CORRENTES,3.3.90.39.016,1.501.0000,CD-CONTRATOS DIVERSOS,5,5,5,5,625
04,"CONTRATAÇÃO DE SERVIÇOS ESPECIALIZDOS EM SOLUÇÃO DE OUTSOURCING (impressão, cópia e digitalização) e GERENCIAMENTO DE IMPRESSÃO DEPARTAMENTAL",Existente / Aditivo,DTIC,UGSTI/GSUP,2009,Locação de impressora e fotocopiadoras,Anual,01,"R$ 42.000,00","R$ 42.000,00",3-DESPESAS CORRENTES,3.3.90.39.041,1.501.0000,CD-CONTRATOS DIVERSOS,5,5,5,5,625
03,CAJU - Empresa Brasileira de Beneficios e Pagamentos Ltda ,Existente / Aditivo,DAFI,UGPES/GPMM,2259,"Fornecimento de vale alimentação -   37 VA  R$ 1.034,00",Mensal,12,"R$ 12.408,00","R$ 148.896,00",3-DESPESAS CORRENTES,3.3.90.39.60,1.501.0000,CD-CONTRATOS DIVERSOS,5,5,5,5,625
04,IFOOD -  Empresa IFFOD Beneficios e Serviços Ltda,Existente / Aditivo,DAFI,UGPES/GPMM,2259,"Fornecimento de vale alimentação  - 12  VA  R$ 1.034,00",Mensal,12,"R$ 38.258,00","R$ 459.096,00",3-DESPESAS CORRENTES,3.3.90.39.60,1.501.0000,CD-CONTRATOS DIVERSOS,5,5,5,5,625
05,VOLUS - Instituição de Pagamento Ltda ,Existente / Aditivo,DAFI,UGPES/GPMM,2259,Fornecimento de vale alimentação -    0 ,Mensal,12,"R$ 0,00","R$ 0,00",3-DESPESAS CORRENTES,3.3.90.39.60,1.501.0000,CD-CONTRATOS DIVERSOS,5,5,5,5,625
06,Equipe Assistência Médica Ltda,Existente / Aditivo,DAFI,UGPES/GPMM,2259,"Executar o PCMSO, PPRA, PPP, Análise Ergonômica, Ginástica Laboral",Mensal,12,"R$ 18.000,00","R$ 216.000,00",3-DESPESAS CORRENTES,3.3.90.39.033,1.501.0000,CD-CONTRATOS DIVERSOS,5,5,5,5,625
07,Unimed Saúde,Existente / Aditivo,DAFI,UGPES/GPMM,2259,Assistência médica Hospitalar (ACT),Mensal,12,"R$ 8.050,00","R$ 96.600,00",3-DESPESAS CORRENTES,3.3.90.39.033,1.501.0000,CD-CONTRATOS DIVERSOS,5,5,5,5,625
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
