CÓDIGO DO RISCO,DESCRIÇÃO DO RISCO,CATEGORIA DO RISCO,RISCO INERENTE,RISCO RESIDUAL,RISCO DE SEGURANÇA DA INFORMAÇÃO - SI,O QUE,QUEM,QUAL ATIVO CRÍTICO AFETADO PELO RISCO?,POR QUE,COMO,INÍCIO,FIM,QUANTO,SITUAÇÃO,PERCETUAL DE EXECUÇÃO,OBSERVAÇÕES,UG,Situação Geral,Número de Ações,Quantidade de Eventos de Riscos
,,,,,,,,,,,,,,,,,,,,
R.GADP.01,Não priorização pelo governo quanto às soluções a serem entregues pela MTI,ESTRATÉGICO,,ALTO,,Alinhamento com a área estratégica do governo,,,,"- Elaboração e aprovação do PTA;
- A partir da consolidação do PTA, apresentar e argumentar as necessidades junto ao órgão central do orçamento.
- Priorização das atividades a serem realizadas, a partir do teto disponibilizado;
- Viabilizar agendas peiódicas com o Governador, para priorização;
- Pautar, nas agendas ordinárias do Conselho de Administração, o monitoramento dos projetos estratégicos.",02/01/2023,29/12/2023,,EM ANDAMENTO,"20,00%",- Verificar orçamento 2023 com ideraldo,GADP,"20,00%",3,3
R.GADP.02,Não contratação da MTI em tempo hábil,ESTRATÉGICO,ALTO,,,Aperfeiçoar o modelo de contratação dos serviços,,,,- Alinhamaento com a PGE e COTEC para criação de um modelo de contratação corporativa da MTI.,02/01/2023,29/12/2023,"R$ 0,00",EM ANDAMENTO,"20,00%",,GADP,,,
R.GADP.03,Vencimento do contrato de temporários ,ESTRATÉGICO,CRÍTICO,,,Solução para continuidade dos negócios sob responsabilidade dos temporários,,,,"- Verificação com a UNIJUR das soluções jurídicas; 
- Análise da UGPES;
- Verificação de soluções com a DTIC.",,,,,,,GADP,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
R.DTIC.01,Indisponibilidade do MT LOGIN,ESTRATÉGICO,CRÍTICO,CRÍTICO,SIM,O MT LOGIN deve estar disponível 24x7 com uma disponibilidade superior a 99%,UGGDI,GCP,Garantir maior disponibilidade e estabilidade na aplicação,Migrando para Nuvem GCP,01/06/2024,01/09/2025,,EM ANDAMENTO,"20,00%","Ações e Resultados

Criar monitoramento 24x7 da aplicação com equipe dedicada - Painel diário com Relatório semanal [contrato rw3]
DNS em nuvem (gcp)
Redundância Total de ambiente para alta disponibilidade
Atualização do Keycloack
Refatoração do ambiente para dev, homol, integração e prod
Atualização conceitual para deixar focado em autenticar usuário
Migração de base de dados para Postgres com cobertura contratual da RW3
Migrar notamt para utilizar o mt login da forma correta
Criar plano de ação para ajustar aplicações do governo digital que estão em produção e novas
Recriar indicadores e medidores próprios, incluindo disponibilidade de status na plataforma de clientes
Monitoramento de segurança e painel diário com relatório mensal de incidentes de segurança
Esteira de Código Seguro
Esteira de Testes (unitário, e2e, integração)
Atendimento nível 1 para o usuário do MT Login (mapear ambientes de integração e produção)",DTIC,"17,50%",5,5
R.DTIC.02,Indisponibilidade do MT ID,ESTRATÉGICO,CRÍTICO,CRÍTICO,SIM,O MT ID deve estar disponível 24x7 com uma disponibilidade superior a 99%,UGGDI,OPENSHIFT,Garantir maior disponibilidade e estabilidade na aplicação,"Atualizando ambiente openshift
Atualizando aplicação, estruturando documentação, criando time dedicado, ajustando contrato de sustentação",01/06/2024,30/12/2025,,EM ANDAMENTO,"20,00%","Ações e Resultados


Redundância total de ambiente para alta disponibilidade
Criar monitoramento da aplicação 24x7 com equipe dedicada - Painel diário com relatório mensal [contrato da rw3]
Criar plano de ação para permitir a integração com sistemas do governo de forma facilitada [Instrução normativa??]
Repositório de documentação (principalmente legal) atualizada (ferramental)
Site público para integração de todos os sistemas, explicando como que isso é feito
Recriar indicadores e medidores próprios, incluindo disponibilidade de status na plataforma de clientes
Monitoramento de segurança e painel diário com relatório mensal de incidentes de segurança
Atendimento nível 1 para o usuário do MT ID (mapear ambientes de integração e produção)
Esteira de Código Seguro",DTIC,,,
R.DTIC.03,Indisponibilidade do Portal de Serviços de MT,ESTRATÉGICO,CRÍTICO,CRÍTICO,SIM,O Portal de Serviços de MT deve estar disponível 24x7 com uma disponibilidade superior a 99%,UGGDI,GCP,Garantir maior disponibilidade e estabilidade na aplicação,,01/06/2024,01/06/2025,,EM ANDAMENTO,"20,00%","Ações e Resultados

Redundância total de ambiente para alta disponibilidade
Load Balance (gcp) e demais componentes  -- estudar diferentes regiões geográficas incluindo datacenter cuiaba
Criar monitoramento da aplicação 24x7 com equipe dedicada - Painel diário com relatório mensal
Recriar indicadores e medidores próprios, incluindo disponibilidade de status na plataforma de clientes
Monitoramento de segurança e painel diário com relatório mensal de incidentes de segurança
Nova versão ---- mais robusta e segura do portal
Esteira de Código Seguro",DTIC,,,
R.DTIC.04,Indisponibilidade dos Portais de Comunicação de MT,ESTRATÉGICO,CRÍTICO,CRÍTICO,SIM,Os portais de comunicação do Estado de MT devem estar disponíveis 24x7 com uma disponibilidade superior a 99%,UGSDG,,,,01/04/2025,30/12/2025,,EM ANDAMENTO,"10,00%","Ações e Resultados

Redundância total de ambiente para alta disponibilidade
Criar monitoramento da aplicação 24x7 com equipe dedicada - Painel diário com relatório mensal
-- Criar plano de ação para deixar o ambiente em nuvem com alta disponibilidade
-- Criar plano de ação para nuvem liferay 
-- Criar plano de ação outra alternativa tecnologica para substituição
Recriar indicadores e medidores próprios, incluindo disponibilidade de status na plataforma de clientes
Monitoramento de segurança e painel diário com relatório mensal de incidentes de segurança
Esteira de Código Seguro",DTIC,,,
R.DTIC.05,Indisponibilidade do Aplicativo MT Cidadão,ESTRATÉGICO,CRÍTICO,CRÍTICO,SIM,"A aplicação nativa do MT Cidadão, logando, navegando no home do app, navegando na parte não logada, entre outras funcionalidades exclusivas do aplicativo devem estar disponíveis 24x7 com disponibilidade superior a 99% -- aplicativo não quebrar de forma alguma -- (microserviços da plataforma, devem estar bem identificados quando estiverem indisponiveis)",UGGDI,,,,01/03/2024,30/12/2025,,EM ANDAMENTO,"25,00%","Ações e Resultados

[contrato da rw3]

Testes integrados, e2e, unitário, fluxo de desenvolvimento de alta qualidade com esteira automatizada
Esteira de Código seguro
Testes de cobertura para ios e android, com maior cobertura de so e versão
Criar monitoramento da aplicação 24x7 com equipe dedicada - Painel diário com relatório mensal
Recriar indicadores e medidores próprios, incluindo disponibilidade de status na plataforma de clientes
Monitoramento de segurança e painel diário com relatório mensal de incidentes de segurança
Central de atendimento nível 1 e nível 2 de atendimento",DTIC,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
R.UGGOV.01,Execução parcial do plano estratégico,ESTRATÉGICO,,ALTO,NÃO,"a) Divulgar mensalmente os resultados no painel de Indicadores da MTI (12,5%/12) = 1,0417
b) Acompanhar evento mensal da DIREX (50%/12) = 4,167
c) Publicar os resultados na intranet - bimestralmente  (12,5%/6) = 2,0833
d) Disseminar cartaz de gestão à vista (12,5%) = 12,5
e) Publicar 2 matérias para os colaboradores (em conjunto com a asscom) (12,5%/2) = 6,25
",Carlos,MTI,Promover a transparência e responsabilização das partes a fim de melhorar o nível de execução / alcance das metas estratégicas,Atuando de acordo com os cronogramas internos da UGGOV,02/01/2024,31/12/2024,"R$ 0,00",CONCLUÍDA,"100,00%","Dos 6 indicadores estratégicos:
03 indicadores atigiram a meta(Nível de satisfação do cliente com as soluções de TIC entregues, Índice de satisfação e imagem, Percentual de pessoas com 100% de seu PDI executado)
02 indicadores com tendência de atingir a meta(Índice de disponibilidade das soluções de TIC e, Valor do Faturamento)
01 indicador resultado abaixo da média (Grau de maturidade de governança e gestão)",UGGOV,"66,67%",3,3
R.UGGOV.02,Baixo índice de conclusão das oportunidades de melhoria priorizadas pela equipe gerencial,ESTRATÉGICO,,ALTO,NÃO,"a) Divulgar mensalmente os resultados no painel de avaliação da gestão da MTI (5%/12) = 0,4167
b)Promover capacitação da equipe gerencial (5%) = 5,0
c)Acompanhar evento semestral  da DIREX (20%)/2 = 10,0
d) Acompanhar evento semestral no Comitê (20%)/2 = 10,0
e) Apoiar na elaboração dos planos de ação (5%) = 5,0
f) Monitorar mensalmente as OM´S (40%)/12 = 3,33
g) Atuar em conjunto com Asscom na criação de informes   semestral (comunicação de equipe) (5%/2) = 2,5 

",Carlos,MTI,Garantir que as OM´S priorizadas de fato sejam implementadas  ,Atuando de acordo com os cronogramas internos da UGGOV,02/01/2024,31/12/2024,"R$ 0,00",CONCLUÍDA,"100,00%","05.06. Ações em andamento / modelo de gestão-governança foi alterado - afetando também o cronograma e métrica. De todo modo, ações de diagnóstico e planos de ação serão elaboradas com novos cronogramas - quando definidos, faremos a atualização aqui.",UGGOV,,,
