Unidade,DESCRIÇÃO DO RISCO,CATEGORIA DO RISCO,NÍVEL DO RISCO,CLASSIFICAÇÃO DO RISCO,O QUE,QUEM,ONDE,POR QUE,COMO,INÍCIO,FIM,QUANTO,SITUAÇÃO,PERCETUAL DE EXECUÇÃO,OBSERVAÇÕES,UG,Situação Geral,Número de Ações,Quantidade de Eventos de Riscos,CR,CTD CR
R.OUVIDORIA.01,A -  Descumprimento das normas e prazos de Ouvidoria,Conformidade,ALTO,RESIDUAL,Cumprir normas e prazos de Ouvidoria,Mara,MTI,"Para cumprimento das normas,  fortalecimento da imagem institucional e satisfação dos usuários","1. Capacitação/atualização da equipe de Ouvidoria;
2. Monitormento dos resultados (relatório de gestão da Ouvidoria)
3. Compartilhamento de resultados com a Alta Gestão (Presidencia);
4. Promover campanhas internas para engajar os colaboradores no cumprimento das diretrizes.
",01/03/2025,31/12/2025,00,EM ANDAMENTO,"60,00%",,OUVIDORIA,"60,00%",3,3,Conformidade,10
R.OUVIDORIA.02,C - Não cumprir a meta na avaliação de satisfação com a Ouvidoria,Operacional,MODERADO,RESIDUAL,Cumprir Meta,Mara,MTI,Fortalecimento da imagem institucional e satisfação dos usuários,"1. Capacitação/atualização da equipe de Ouvidoria;
2. Monitormento dos resultados (relatório de gestão da Ouvidoria)
3. Compartilhamento de resultados com a Alta Gestão (Presidencia);
4. Promover campanhas internas para engajar os colaboradores no cumprimento das diretrizes.
",01/03/2025,31/12/2025,00,EM ANDAMENTO,"60,00%",,OUVIDORIA,,,,Conformidade - Integridade,4
R.OUVIDORIA.03,D - Descumprimento das normas e prazos da LAI no que se refere as demandas de SIC; ,Conformidade,MODERADO,RESIDUAL,Cumprir normas e prazos do SIC,Mara,MTI,"Para cumprimento da LAI,  fortalecimento da imagem institucional e satisfação dos usuários","1. Capacitação/atualização da equipe de Ouvidoria;
2. Monitormento dos resultados (relatório de gestão da Ouvidoria)
3. Compartilhamento de resultados com a Alta Gestão (Presidencia);
4. Promover campanhas internas para engajar os colaboradores no cumprimento das diretrizes.
",01/03/2025,31/12/2025,00,EM ANDAMENTO,"60,00%",,OUVIDORIA,,,,Risco Estratégico,50
R.UNICRS.01,Falhas em Infraestrutura com indisponibilidade dos serviços de TIC ,Risco Estratégico,,INERENTE,Elaborar PCN - Plano de Continuidade de Negócio da MTI,ANA BEATRIZ E CIRANO SOARES,MTI,"Propocionar a resolução dos incidentes em tempo hábil, a partir da definição das condutas a serem tomadas pelos responsáveis, evitando riscos à imagem da MTI.","- Reuniões semanais para elaboração do documento, em conjunto com a assessoria da presidência; 
- Apresentação e validação da minuta elaborada no Comitê de Segurança e Riscos;
- Apresentação e aprovação do documento em DIREX; 
- Publicação e disseminação ao corpo tático da empresa.",20/02/2025,27/06/2025,,EM ANDAMENTO,"96,00%",Monitorado,UNICRS,"78,20%",5,5,Operacional,89
R.UNICRS.02,Ataques cibernéticos,Risco Estratégico,,INERENTE,Aperfeiçoar os processos de segurança da informação e de riscos que afetam os processos finalísticos,UNICRS,MTI,"Aumentar a conscientização dos empregados da MTI, acerca de conceitos básicos em segurança da informação, dimuindo, dessa forma, a vulnerabilidade da empresa, pois sem treinamento adequado os empregados podem não reconhecer e-mails de phishing, links maliciosos ou outras táticas de engenharia social, tornando a empresa mais suscetível a invasões e ataques cibernéticos","- Atualização da metodologia da GIRC, com definições claras dos riscos de segurança da informação (40%);
- Disseminações mensais de SI; 
- Treinamentos realizados quadrimestralmente pela UNICRS - abril (15%) / agosto (15%) / novembro (15%), para todos os colaboradores da empresa; e por demanda, a pedido.",30/04/2025,30/11/2025,,EM ANDAMENTO,"85,00%",Monitorado,UNICRS,,,,Operacional - Financeiro/Contábil,1
R.UNICRS.03,Dificuldade na adesão ao Código de Conduta e Integridade,CONFORMIDADE - INTEGRIDADE,ALTO,INERENTE,Facilitar o entendimento das regras de conduta e integridade disseminadas na MTI e aplicar as consequências necessárias em caso de descumprimento,UNICRS  E COMISSÃO DE CONDUTA E INTEGRIDADE,MTI,Facilitar o entendimento das regras de conduta e integridade disseminadas na MTI e incentivar a realização de denúncias aos casos de descumprimento do código,"- Disseminar o código de conduta e integridade entre os colaboradores;
- Realizar treinamento anual para todos os colabodores da MTI;
- Analisar, através da comissão de conduta e integridade, as condutas que desrespeitarem o código de conduta e integridade, aplicando as sanções cabíveis.",03/03/2025,20/12/2025,,EM ANDAMENTO,"75,00%",Disseminações mensais realizadas,UNICRS,,,,,
R.UNICRS.04,Falha na implementação de uma cultura ética e de integridade,CONFORMIDADE - INTEGRIDADE,ALTO,INERENTE,Fortalecer a cultura ética e de conformidade na MTI,UNICRS,MTI,"- Disseminar uma cultura ética e de conformidade na MTI, com incentivo a denúncias","Realizar reuniões com todos os gerentes de unidade para analisar documentos/prazos/cumprimentos necessários, por área, para criação de uma planilha de conformidades da MTI, objetivano um controle maior das conformidades a serem cumpridas;
- Fortalecer os canais de denúncias, incentivando a realização de denúncias;
- Incentivar e bonificar o comportamento ético 
",10/03/2025,20/12/2025,,EM ANDAMENTO,"65,00%","- Disseminações realizadas mensalmente sobre temas diversos em integridade, bem como conteúdos do código de conduta e integridade.",UNICRS,,,,,
R.UNICRS.05,Baixa adesão aos treinamentos realizados pela UNICRS,OPERACIONAL,MODERADO,INERENTE,Aumentar o engajamento/participação dos colaboradores nos treinamentos e melhorar a disseminação dos instrumentos instituídos,ANA BEATRIZ E LARISS,MTI,"- Fortalecer da cultura ética e de integridade;
- diminuir a ocorrência de falhas e incidentes.","- Realizar treinamento específico para estagiário e menor aprendiz - anual;
- Avaliar os treinamentos realizados a partir de um questionário, para verificar a retenção de conhecimento",07/04/2024,20/12/2025,,EM ANDAMENTO,"70,00%","- Realizado o primeiro treinamento pela UNICRS, em 30/04: Café Tech - Construindo uma Cultura de Segurança da Informação no Setor Público (108 participantes); 
- 2ºCafé Tech - LGPD EM FOCO - realizado em 31/07;
- Evento presencial LGPD - 20/08",UNICRS,,,,,
R.UNIJUR.01,Defesa ineficiente,Operacional,MODERADO,INERENTE,Capacitação jurídica dos assessores,Assessores jurídicos,MTI,Qualificação dos advogados nas áreas de interesse da empresa,1 - Cursos presenciais e a distancia                                                            2 - Plataforma jurídica                                                                                                                                       3 - Banco de jurisprudência,10/03/2025,31/12/2025,,EM ANDAMENTO,"55,00%",1 Curso autorizado para 3 assessores que será em agosto de 2025; Plataforma UEDMY disponibilizada pela empresa para realização dos cursos,UNIJUR,"60,00%",3,3,,
R.UNIJUR.02,Não cumprimento do prazo legal de 12 dias úteis ou do prazo alinhado com a DIREX,Operacional,ALTO,INERENTE,Parecer jurídico no prazo,Assessor Jurídico I,MTI,Não perder o prazo legal,1 - Implementação de controle de prazos - GAT                     2- Priorização e fluxo de trabalho - classificação de urgência)                                                                                                                                                                    3 - Monitoramento e comunicação,10/03/2025,31/12/2025,,EM ANDAMENTO,"60,00%",Realizado diariamente,UNIJUR,,,,,
